area_id,address,measurement_type,target_type,target,number,total_number,total_area
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,library,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,school,8,8,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,clinic,2,2,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,dentist,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,pharmacy,5,5,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,cinema,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,courthouse,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,fire_station,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,amenity,police,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,amenity,collage,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,amenity,university,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,amenity,parking,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,amenity,hospital,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,landuse,residential,0,0,3181933.0172047047
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,landuse,forest,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,railway,station,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,leisure,playground,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",number,leisure,stadium,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,leisure,marina,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,leisure,park,0,0,21650.712213706924
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,leisure,sports_hall,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,tourism,museum,0,0,0.0
3609219465,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34889, Türkiye",area,tourism,theme_park,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,library,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,school,8,8,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,clinic,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,dentist,1,1,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,pharmacy,10,10,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,cinema,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,courthouse,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,fire_station,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,amenity,police,1,1,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,amenity,collage,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,amenity,university,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,amenity,parking,0,0,43176.54727619304
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,amenity,hospital,0,0,5381.3029768597335
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,landuse,residential,0,0,454244.5222694911
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,landuse,forest,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,railway,station,1,1,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,leisure,playground,7,7,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",number,leisure,stadium,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,leisure,marina,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,leisure,park,0,0,18285.37546089047
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,leisure,sports_hall,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,tourism,museum,0,0,0.0
3609432147,"Kurtköy Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34606, Türkiye",area,tourism,theme_park,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,library,1,1,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,school,6,6,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,clinic,2,2,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,dentist,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,pharmacy,1,1,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,cinema,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,courthouse,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,fire_station,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,police,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,collage,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,university,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,parking,0,0,572.0021129284287
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,hospital,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,residential,0,0,723491.3784853942
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,forest,0,0,340592.83742561564
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,railway,station,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,playground,7,7,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,stadium,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,marina,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,park,0,0,23373.536808261706
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,sports_hall,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,museum,0,0,0.0
3609268910,"Velibaba Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,theme_park,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,library,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,school,8,8,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,clinic,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,dentist,1,1,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,pharmacy,15,15,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,cinema,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,courthouse,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,fire_station,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,police,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,collage,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,university,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,parking,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,hospital,0,0,1603.611828044057
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,residential,0,0,1778471.4701563383
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,forest,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,railway,station,1,1,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,playground,1,1,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,stadium,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,marina,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,park,0,0,251811.20432520294
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,sports_hall,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,museum,0,0,0.0
3609218021,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,theme_park,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,library,1,1,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,school,9,9,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,clinic,1,1,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,dentist,1,1,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,pharmacy,7,7,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,cinema,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,courthouse,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,fire_station,1,1,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,amenity,police,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,amenity,collage,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,amenity,university,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,amenity,parking,0,0,6571.636663496902
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,amenity,hospital,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,landuse,residential,0,0,916700.735595244
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,landuse,forest,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,railway,station,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,leisure,playground,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",number,leisure,stadium,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,leisure,marina,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,leisure,park,0,0,1997.7335365320323
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,leisure,sports_hall,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,tourism,museum,0,0,0.0
3609218332,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye",area,tourism,theme_park,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,library,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,school,8,8,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,clinic,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,dentist,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,pharmacy,22,22,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,cinema,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,courthouse,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,fire_station,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,police,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,collage,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,university,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,parking,0,0,33812.3245274761
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,hospital,0,0,85883.7625113237
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,residential,0,0,2188616.0110311867
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,forest,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,railway,station,1,1,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,playground,5,5,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,leisure,stadium,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,marina,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,park,0,0,472156.97699550964
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,leisure,sports_hall,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,museum,0,0,0.0
3609219471,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,tourism,theme_park,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,library,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,school,3,3,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,ferry_terminal,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,clinic,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,dentist,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,pharmacy,4,4,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,cinema,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,courthouse,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,fire_station,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",number,amenity,police,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,collage,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,university,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,parking,0,0,29845.75977915636
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,amenity,hospital,0,0,0.0
3609078111,"Güzelyalı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye",area,landuse,residential,0,0,2465179.152065336
